Datasheet,Image,DK Part #,MfrPartNum,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Operating Temperature","Polarization","Ratings","Applications","Ripple Current @ Low Frequency","Ripple Current @ High Frequency","Impedance","Lead Spacing","Size / Dimension","Height - Seated (Max)","Surface Mount Land Size","Mounting Type","Package / Case"
"https://www.cde.com/resources/catalogs/KXM.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/HSM-Series.jpg","1572-1315-ND","108KXM025M","Illinois Capacitor","Illinois Capacitor","CAP ALUM 1000UF 20% 25V RADIAL","7,948","1.29","0","1","Bulk","KXM","Active","1000 µF","±20%","25 V","199mOhm @ 120Hz","5000 Hrs @ 105°C","-55°C ~ 105°C","Polar","-","General Purpose","1.416 A @ 120 Hz","2.36 A @ 100 kHz","53 mOhms","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","0.866"" (22.00mm)","-","Through Hole","Radial, Can"
"https://www.cde.com/resources/catalogs/KXM.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/HSM-Series.jpg","1572-1676-ND","127KXM050M","Illinois Capacitor","Illinois Capacitor","CAP ALUM 120UF 20% 50V RADIAL","5,816","0.73","0","1","Bulk","KXM","Active","120 µF","±20%","50 V","1.3816Ohm @ 120Hz","3000 Hrs @ 105°C","-55°C ~ 105°C","Polar","-","General Purpose","380 mA @ 120 Hz","950 mA @ 100 kHz","180 mOhms","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.650"" (16.50mm)","-","Through Hole","Radial, Can"
"https://www.cde.com/resources/catalogs/TTA.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/336TTA160M.jpg","1572-1249-2-ND,1572-1249-1-ND","476TTA016MSD","Illinois Capacitor","Illinois Capacitor","CAP ALUM 47UF 20% 16V AXIAL","8,718","0.71","0","1","Tape & Reel (TR),Cut Tape (CT)","TTA","Active","47 µF","±20%","16 V","7.0547Ohm @ 120Hz","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","-","General Purpose","90 mA @ 120 Hz","137.7 mA @ 50 kHz","-","-","0.197"" Dia x 0.512"" L (5.00mm x 13.00mm)","-","-","Through Hole","Axial, Can"
"https://www.cde.com/resources/catalogs/AXZ.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_SMH-Series.jpg","1572-1239-2-ND,1572-1239-1-ND,1572-1239-6-ND","107AXZ016MQ5","Illinois Capacitor","Illinois Capacitor","CAP ALUM 100UF 20% 16V SMD","10,376","0.49","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AXZ","Active","100 µF","±20%","16 V","2.65Ohm @ 120Hz","2000 Hrs @ 105°C","-55°C ~ 105°C","Polar","-","General Purpose","115 mA @ 120 Hz","230 mA @ 100 kHz","520 mOhms","-","0.248"" Dia (6.30mm)","0.220"" (5.60mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
"https://www.cde.com/resources/catalogs/AXZ.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_SMH-Series.jpg","1572-1240-2-ND,1572-1240-1-ND,1572-1240-6-ND","476AXZ035MQ5","Illinois Capacitor","Illinois Capacitor","CAP ALUM 47UF 20% 35V SMD","16,980","0.63","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AXZ","Active","47 µF","±20%","35 V","4.23Ohm @ 120Hz","2000 Hrs @ 105°C","-55°C ~ 105°C","Polar","-","General Purpose","115 mA @ 120 Hz","230 mA @ 100 kHz","520 mOhms","-","0.248"" Dia (6.30mm)","0.220"" (5.60mm)","0.260"" L x 0.260"" W (6.60mm x 6.60mm)","Surface Mount","Radial, Can - SMD"
"https://www.cde.com/resources/catalogs/KXM.pdf","-","1572-1693-ND","226KXM063M","Illinois Capacitor","Illinois Capacitor","CAP ALUM 22UF 20% 63V RADIAL","772","0.37","0","1","Bulk","KXM","Active","22 µF","±20%","63 V","7.5357Ohm @ 120Hz","2000 Hrs @ 105°C","-55°C ~ 105°C","Polar","-","General Purpose","100 mA @ 120 Hz","250 mA @ 100 kHz","1.06 Ohms","0.098"" (2.50mm)","0.248"" Dia (6.30mm)","0.492"" (12.50mm)","-","Through Hole","Radial, Can"
"https://www.cde.com/resources/catalogs/KXM.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/HSM-Series.jpg","1572-1713-ND","228KXM050M","Illinois Capacitor","Illinois Capacitor","CAP ALUM 2200UF 20% 50V RADIAL","274","3.05","0","1","Bulk","KXM","Active","2200 µF","±20%","50 V","105.5mOhm @ 120Hz","5000 Hrs @ 105°C","-55°C ~ 105°C","Polar","-","General Purpose","2.768 A @ 120 Hz","3.69 A @ 100 kHz","55 mOhms","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.457"" (37.00mm)","-","Through Hole","Radial, Can"
"https://www.cde.com/resources/catalogs/CKH_CKE.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/CKE-Series_12-14%28HT%29.jpg","1572-1698-ND","227CKE035M","Illinois Capacitor","Illinois Capacitor","CAP ALUM 220UF 20% 35V RADIAL","3,338","0.54","0","1","Bulk","CKE","Active","220 µF","±20%","35 V","904mOhm @ 120Hz","2000 Hrs @ 105°C","-40°C ~ 105°C","Polar","-","General Purpose","295 mA @ 120 Hz","486.75 mA @ 100 kHz","-","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.512"" (13.00mm)","-","Through Hole","Radial, Can"
"https://www.cde.com/resources/catalogs/KXM.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/HSM-Series.jpg","1572-1750-ND","477KXM063M","Illinois Capacitor","Illinois Capacitor","CAP ALUM 470UF 20% 63V RADIAL","5,300","1.69","0","1","Bulk","KXM","Active","470 µF","±20%","63 V","352.7mOhm @ 120Hz","5000 Hrs @ 105°C","-55°C ~ 105°C","Polar","-","General Purpose","892.5 mA @ 120 Hz","1.785 A @ 100 kHz","80 mOhms","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.457"" (37.00mm)","-","Through Hole","Radial, Can"
"https://www.cde.com/resources/catalogs/CKR_CKS.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_CKE-Series-Radial.JPG","1572-1668-ND","108CKS010M","Illinois Capacitor","Illinois Capacitor","CAP ALUM 1000UF 20% 10V RADIAL","4,008","0.66","0","1","Bulk","CKS","Active","1000 µF","±20%","10 V","315mOhm @ 120Hz","2000 Hrs @ 85°C","-40°C ~ 85°C","Polar","-","General Purpose","795 mA @ 120 Hz","1.113 A @ 100 kHz","-","0.197"" (5.00mm)","0.394"" Dia (10.00mm)","0.551"" (14.00mm)","-","Through Hole","Radial, Can"
