Datasheet,Image,DK Part #,MfrPartNum,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status",Capacitance,"Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style"
"https://datasheets.kyocera-avx.com/100B.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B6R8BT500XT1KTR-ND,1284-100B6R8BT500XT1KCT-ND,1284-100B6R8BT500XT1KDKR-ND","100B6R8BT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 6.8PF 500V P90 1111","925","5.94","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","6.8 pF","±0.1pF","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/100b.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B130JT500XT1KTR-ND,1284-100B130JT500XT1KCT-ND,1284-100B130JT500XT1KDKR-ND","100B130JT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 13PF 500V P90 1111","7,361","5.99","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","13 pF","±5%","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/100b.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B2R4BT500XT1KTR-ND,1284-100B2R4BT500XT1KCT-ND,1284-100B2R4BT500XT1KDKR-ND","100B2R4BT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 2.4PF 500V P90 1111","1,900","4.95","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","2.4 pF","±0.1pF","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://datasheets.kyocera-avx.com/100B.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B4R7CT500XT1KTR-ND,1284-100B4R7CT500XT1KCT-ND,1284-100B4R7CT500XT1KDKR-ND","100B4R7CT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 4.7PF 500V P90 1111","3,548","5.15","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","4.7 pF","±0.25pF","500V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://datasheets.kyocera-avx.com/100B.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B102GTN50XT1KTR-ND,1284-100B102GTN50XT1KCT-ND,1284-100B102GTN50XT1KDKR-ND","100B102GTN50XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 1000PF 50V P90 1111","500","12.16","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","1000 pF","±2%","50V","P90","-55°C ~ 125°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://datasheets.kyocera-avx.com/100B.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/1111%20(2828%20Metric).jpg","1284-100B121JT300XT1KTR-ND,1284-100B121JT300XT1KCT-ND,1284-100B121JT300XT1KDKR-ND","100B121JT300XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 120PF 300V P90 1111","3,250","6.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","Porcelain Superchip® ATC 100B","Active","120 pF","±5%","300V","P90","-55°C ~ 175°C","High Q, Low Loss, Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://datasheets.kyocera-avx.com/800A.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/0606%20(1616%20Metric).jpg","1284-800A2R7BT250XT4KTR-ND,1284-800A2R7BT250XT4KCT-ND,1284-800A2R7BT250XT4KDKR-ND","800A2R7BT250XT4K","American Technical Ceramics","American Technical Ceramics","CAP CER 2.7PF 250V C0G/NP0 0505","458","3.62","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ATC 800A","Active","2.7 pF","±0.1pF","250V","C0G, NP0","-55°C ~ 125°C","Ultra Low ESR","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","0505 (1313 Metric)","0.055"" L x 0.055"" W (1.40mm x 1.40mm)","-","0.057"" (1.45mm)","-","-"
"https://datasheets.kyocera-avx.com/800A.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/0606%20(1616%20Metric).jpg","1284-800A390FT250XT4KTR-ND,1284-800A390FT250XT4KCT-ND,1284-800A390FT250XT4KDKR-ND","800A390FT250XT4K","American Technical Ceramics","American Technical Ceramics","CAP CER 39PF 250V C0G/NP0 0505","990","3.87","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ATC 800A","Active","39 pF","±1%","250V","C0G, NP0","-55°C ~ 125°C","Ultra Low ESR","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","0505 (1313 Metric)","0.055"" L x 0.055"" W (1.40mm x 1.40mm)","-","0.057"" (1.45mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/700b.pdf","-","1284-700B1R0BT500XT1KTR-ND,1284-700B1R0BT500XT1KCT-ND,1284-700B1R0BT500XT1KDKR-ND","700B1R0BT500XT1K","American Technical Ceramics","American Technical Ceramics","CAP CER 1PF 500V C0G/NP0 1111","474","6.16","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ATC 700B","Active","1 pF","±0.1pF","500V","C0G, NP0","-55°C ~ 125°C","Low ESL","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","1111 (2828 Metric)","0.110"" L x 0.110"" W (2.79mm x 2.79mm)","-","0.102"" (2.59mm)","-","-"
"https://atceramics.com/userFiles/uploads/pdfs/800a.pdf","//media.digikey.com/Renders/American%20Technical%20Ceramics%20Renders/0606%20(1616%20Metric).jpg","1284-800A0R6BT250XT4KTR-ND,1284-800A0R6BT250XT4KCT-ND,1284-800A0R6BT250XT4KDKR-ND","800A0R6BT250XT4K","American Technical Ceramics","American Technical Ceramics","CAP CER 0.6PF 250V C0G/NP0 0505","569","3.44","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","ATC 800A","Active","0.6 pF","±0.1pF","250V","C0G, NP0","-55°C ~ 125°C","Ultra Low ESR","-","RF, Microwave, High Frequency, Bypass, Decoupling","-","Surface Mount, MLCC","0505 (1313 Metric)","0.055"" L x 0.055"" W (1.40mm x 1.40mm)","-","0.057"" (1.45mm)","-","-"
